"wv,m",B
0.00000116,5.32E+02
0.000001162,5.33E+02
0.000001164,5.33E+02
0.000001166,5.30E+02
0.000001168,5.31E+02
0.00000117,5.28E+02
0.000001172,5.32E+02
0.000001174,5.27E+02
0.000001176,5.18E+02
0.000001178,5.19E+02
0.00000118,5.24E+02
0.000001182,5.16E+02
0.000001184,5.10E+02
0.000001186,5.19E+02
0.000001188,5.08E+02
0.00000119,5.09E+02
0.000001192,5.16E+02
0.000001194,5.15E+02
0.000001196,5.08E+02
0.000001198,4.94E+02
0.0000012,5.00E+02
0.000001202,5.07E+02
0.000001204,4.95E+02
0.000001206,5.04E+02
0.000001208,4.89E+02
0.00000121,4.88E+02
0.000001212,4.93E+02
0.000001214,4.94E+02
0.000001216,4.93E+02
0.000001218,4.90E+02
0.00000122,4.88E+02
0.000001222,4.85E+02
0.000001224,4.85E+02
0.000001226,4.82E+02
0.000001228,4.77E+02
0.00000123,4.79E+02
0.000001232,4.75E+02
0.000001234,4.73E+02
0.000001236,4.72E+02
0.000001238,4.70E+02
0.00000124,4.65E+02
0.000001242,4.64E+02
0.000001244,4.62E+02
0.000001246,4.64E+02
0.000001248,4.63E+02
0.00000125,4.62E+02
0.000001252,4.57E+02
0.000001254,4.57E+02
0.000001256,4.55E+02
0.000001258,4.53E+02
0.00000126,4.53E+02
0.000001262,4.50E+02
0.000001264,4.48E+02
0.000001266,4.47E+02
0.000001268,4.42E+02
0.00000127,4.45E+02
0.000001272,4.45E+02
0.000001274,4.43E+02
0.000001276,4.45E+02
0.000001278,4.44E+02
0.00000128,4.36E+02
0.000001282,4.01E+02
0.000001284,4.26E+02
0.000001286,4.33E+02
0.000001288,4.31E+02
0.00000129,4.26E+02
0.000001292,4.25E+02
0.000001294,4.22E+02
0.000001296,4.22E+02
0.000001298,4.18E+02
0.0000013,4.19E+02
0.000001302,4.14E+02
0.000001304,4.11E+02
0.000001306,4.14E+02
0.000001308,4.12E+02
0.00000131,4.11E+02
0.000001312,4.03E+02
0.000001314,4.02E+02
0.000001316,3.98E+02
0.000001318,4.02E+02
0.00000132,4.02E+02
0.000001322,3.99E+02
0.000001324,3.98E+02
0.000001326,3.95E+02
0.000001328,3.91E+02
0.00000133,3.88E+02
0.000001332,3.86E+02
0.000001334,3.89E+02
0.000001336,3.87E+02
0.000001338,3.83E+02
0.00000134,3.79E+02
0.000001342,3.81E+02
0.000001344,3.80E+02
0.000001346,3.77E+02
0.000001348,3.77E+02
0.00000135,3.72E+02
0.000001352,3.74E+02
0.000001354,3.72E+02
0.000001356,3.68E+02
0.000001358,3.69E+02
0.00000136,3.67E+02
0.000001362,3.68E+02
0.000001364,3.66E+02
0.000001366,3.66E+02
0.000001368,3.63E+02
0.00000137,3.60E+02
0.000001372,3.62E+02
0.000001374,3.61E+02
0.000001376,3.56E+02
0.000001378,3.58E+02
